Rezultati za V3_V_S_7_11_2012_V.2.kml
16.447129 43.887259 422.270000 r
16.447142 43.887243 422.360000 r
16.447156 43.887228 422.480000 l
16.447168 43.887212 422.590000 r
16.447181 43.887196 422.690000 p
16.447194 43.887180 422.800000 r
16.447206 43.887165 422.870000 r
16.447219 43.887149 422.970000 r
16.447231 43.887133 423.050000 p
16.447243 43.887117 423.150000 r
16.447256 43.887102 423.240000 l
16.447267 43.887085 423.350000 r
16.447278 43.887069 423.440000 r
16.447290 43.887052 423.520000 r
16.447301 43.887036 423.630000 r
16.447312 43.887019 423.720000 r
16.447323 43.887003 423.810000 r
16.447333 43.886986 423.900000 r
16.447344 43.886970 423.960000 r
16.447355 43.886953 424.030000 r
16.447366 43.886937 424.100000 r
16.447376 43.886920 424.200000 r
16.447386 43.886904 424.260000 r
16.447396 43.886887 424.340000 r
16.447406 43.886871 424.410000 r
16.447416 43.886854 424.480000 p
16.447426 43.886837 424.610000 p
16.447436 43.886820 424.680000 r
16.447445 43.886803 424.800000 r
16.447455 43.886786 424.920000 p
16.447465 43.886769 425.070000 l
16.447473 43.886750 425.160000 l
16.447482 43.886733 425.270000 r
16.447491 43.886715 425.390000 r
16.447500 43.886696 425.490000 r
16.447508 43.886679 425.570000 r
16.447517 43.886661 425.670000 r
16.447526 43.886644 425.700000 r
16.447536 43.886627 425.770000 r
16.447545 43.886609 425.850000 r
16.447554 43.886592 425.920000 p
16.447563 43.886575 425.990000 p
16.447572 43.886558 426.070000 r
16.447581 43.886540 426.150000 r
16.447591 43.886523 426.240000 r
16.447601 43.886505 426.360000 l
16.447609 43.886487 426.450000 l
16.447619 43.886469 426.580000 r
16.447629 43.886452 426.680000 r
16.447639 43.886434 426.760000 l
16.447647 43.886417 426.780000 r
16.447655 43.886399 426.800000 r
16.447661 43.886380 426.770000 r
16.447667 43.886362 426.760000 l
16.447676 43.886344 426.810000 p
16.447685 43.886326 426.860000 r
16.447694 43.886309 426.900000 r
16.447703 43.886291 426.950000 p
16.447712 43.886273 426.990000 p
16.447721 43.886255 427.020000 p
16.447730 43.886237 427.040000 p
16.447739 43.886219 427.090000 p
16.447748 43.886201 427.120000 r
16.447757 43.886182 427.160000 r
16.447766 43.886164 427.180000 r
16.447774 43.886145 427.150000 r
16.447783 43.886127 427.190000 r
16.447790 43.886108 427.170000 l
16.447799 43.886089 427.150000 l
16.447806 43.886070 427.140000 r
16.447815 43.886052 427.130000 r
16.447824 43.886033 427.140000 r
16.447832 43.886014 427.170000 r
16.447842 43.885996 427.230000 r
16.447851 43.885977 427.250000 r
16.447860 43.885959 427.260000 r
16.447869 43.885940 427.270000 r
16.447878 43.885922 427.290000 r
16.447887 43.885903 427.330000 p
16.447896 43.885884 427.380000 r
16.447905 43.885866 427.370000 r
16.447914 43.885847 427.430000 r
16.447924 43.885829 427.470000 r
16.447933 43.885810 427.540000 p
16.447942 43.885791 427.600000 r
16.447952 43.885773 427.670000 r
16.447962 43.885754 427.760000 r
16.447971 43.885736 427.830000 r
16.447980 43.885717 427.900000 p
16.447989 43.885698 427.950000 r
16.447999 43.885680 428.000000 r
16.448008 43.885662 428.070000 r
16.448018 43.885643 428.130000 r
16.448027 43.885625 428.210000 r
16.448037 43.885606 428.280000 l
16.448047 43.885589 428.280000 l
16.448057 43.885570 428.310000 r
16.448066 43.885552 428.330000 r
16.448076 43.885534 428.350000 p
16.448086 43.885516 428.370000 r
16.448095 43.885497 428.440000 r
16.448105 43.885479 428.520000 r
16.448114 43.885461 428.560000 r
16.448124 43.885442 428.650000 p
16.448134 43.885423 428.710000 r
16.448144 43.885405 428.750000 p
16.448154 43.885387 428.800000 r
16.448164 43.885368 428.860000 r
16.448174 43.885350 428.920000 p
16.448184 43.885332 428.980000 r
16.448194 43.885313 429.040000 r
16.448204 43.885295 429.110000 r
16.448212 43.885276 429.110000 r
16.448221 43.885257 429.100000 r
16.448229 43.885238 429.080000 p
16.448237 43.885219 429.070000 l
16.448247 43.885200 429.120000 l
16.448255 43.885181 429.090000 r
16.448264 43.885162 429.040000 r
16.448272 43.885143 429.010000 r
16.448280 43.885123 428.990000 r
16.448288 43.885104 428.980000 p
16.448296 43.885085 428.980000 p
16.448304 43.885066 428.980000 r
16.448313 43.885047 428.990000 p
16.448322 43.885028 428.990000 p
16.448331 43.885009 428.990000 r
16.448340 43.884991 428.990000 r
16.448350 43.884972 428.990000 r
16.448360 43.884954 429.010000 r
16.448369 43.884936 429.020000 r
16.448379 43.884918 429.020000 r
16.448389 43.884899 429.030000 r
16.448399 43.884881 429.050000 p
16.448409 43.884863 429.080000 r
16.448418 43.884844 429.060000 p
16.448427 43.884825 429.050000 r
16.448437 43.884806 429.080000 r
16.448446 43.884788 429.070000 r
16.448456 43.884770 429.050000 p
16.448466 43.884752 429.030000 r
16.448475 43.884734 429.030000 r
16.448485 43.884715 429.050000 l
16.448495 43.884698 429.040000 l
16.448504 43.884679 429.020000 r
16.448514 43.884661 429.010000 p
16.448524 43.884643 428.990000 r
16.448533 43.884625 428.980000 p
16.448542 43.884607 428.970000 r
16.448552 43.884589 428.960000 r
16.448561 43.884571 428.950000 p
16.448570 43.884553 428.960000 r
16.448580 43.884535 428.960000 r
16.448589 43.884517 428.970000 p
16.448598 43.884499 428.970000 p
16.448607 43.884481 428.960000 p
16.448616 43.884463 428.950000 r
16.448625 43.884446 428.960000 r
16.448634 43.884428 428.930000 r
16.448643 43.884411 428.920000 r
16.448652 43.884393 428.920000 r
16.448662 43.884376 428.910000 r
16.448670 43.884358 428.930000 r
16.448680 43.884341 428.900000 r
16.448688 43.884323 428.920000 r
16.448697 43.884306 428.940000 r
16.448706 43.884288 428.950000 r
16.448715 43.884271 428.910000 r
16.448725 43.884254 428.880000 l
16.448733 43.884237 428.850000 l
16.448743 43.884220 428.820000 r
16.448752 43.884203 428.830000 p
16.448761 43.884186 428.840000 p
16.448770 43.884169 428.860000 p
16.448779 43.884152 428.890000 p
16.448788 43.884135 428.910000 p
16.448797 43.884118 428.920000 p
16.448806 43.884101 428.920000 p
16.448815 43.884084 428.950000 r
16.448823 43.884067 428.960000 r
16.448832 43.884051 428.970000 r
16.448842 43.884034 428.980000 l
16.448850 43.884017 429.000000 r
16.448860 43.884001 429.010000 r
16.448869 43.883984 429.020000 p
16.448878 43.883967 429.030000 r
16.448887 43.883951 429.030000 p
16.448896 43.883935 429.050000 r
16.448905 43.883918 429.060000 r
16.448915 43.883902 429.090000 r
16.448924 43.883885 429.110000 p
16.448933 43.883868 429.130000 r
16.448943 43.883852 429.150000 r
16.448952 43.883836 429.180000 p
16.448961 43.883820 429.200000 r
16.448971 43.883804 429.240000 p
16.448981 43.883788 429.280000 r
16.448991 43.883771 429.320000 r
16.449001 43.883755 429.350000 p
16.449011 43.883739 429.360000 p
16.449021 43.883723 429.400000 r
16.449032 43.883707 429.430000 r
16.449042 43.883692 429.470000 r
16.449053 43.883676 429.490000 p
16.449064 43.883660 429.510000 r
16.449075 43.883645 429.530000 r
16.449086 43.883629 429.560000 r
16.449098 43.883614 429.580000 r
16.449109 43.883598 429.600000 r
16.449121 43.883583 429.600000 p
16.449133 43.883568 429.620000 r
16.449146 43.883553 429.630000 r
16.449158 43.883538 429.640000 r
16.449171 43.883523 429.660000 p
16.449184 43.883508 429.670000 p
16.449197 43.883493 429.670000 p
16.449210 43.883478 429.680000 p
16.449223 43.883463 429.690000 r
16.449237 43.883449 429.700000 r
16.449250 43.883434 429.740000 r
16.449264 43.883420 429.770000 r
16.449278 43.883405 429.810000 r
16.449292 43.883391 429.830000 r
16.449306 43.883376 429.850000 r
16.449320 43.883362 429.880000 p
16.449334 43.883348 429.920000 p
16.449349 43.883333 429.960000 r
16.449364 43.883319 429.990000 r
16.449378 43.883305 429.940000 l
16.449390 43.883291 429.710000 r
16.449403 43.883277 429.590000 l
16.449418 43.883263 429.550000 r
16.449433 43.883250 429.520000 r
16.449449 43.883236 429.520000 r
16.449464 43.883222 429.510000 r
16.449480 43.883209 429.490000 p
16.449496 43.883196 429.480000 r
16.449512 43.883182 429.490000 r
16.449528 43.883169 429.500000 r
16.449545 43.883156 429.530000 r
16.449562 43.883142 429.570000 l
16.449578 43.883130 429.580000 l
16.449595 43.883116 429.610000 r
16.449613 43.883103 429.650000 r
16.449630 43.883090 429.680000 p
16.449647 43.883077 429.730000 r
16.449665 43.883065 429.790000 r
16.449682 43.883052 429.840000 p
16.449699 43.883039 429.890000 r
16.449717 43.883026 429.930000 p
16.449735 43.883013 429.980000 r
16.449752 43.883000 430.020000 r
16.449770 43.882987 430.060000 r
16.449787 43.882974 430.110000 r
16.449805 43.882961 430.180000 r
16.449822 43.882948 430.230000 r
16.449840 43.882935 430.270000 p
16.449858 43.882922 430.300000 r
16.449875 43.882909 430.340000 p
16.449892 43.882896 430.370000 p
16.449909 43.882883 430.390000 r
16.449927 43.882870 430.420000 r
16.449944 43.882857 430.520000 p
16.449961 43.882844 430.530000 p
16.449978 43.882831 430.550000 r
16.449995 43.882819 430.560000 r
16.450012 43.882806 430.580000 p
16.450029 43.882793 430.590000 r
16.450046 43.882781 430.610000 r
16.450063 43.882768 430.630000 r
16.450080 43.882756 430.660000 r
16.450096 43.882743 430.690000 r
16.450113 43.882731 430.720000 r
16.450129 43.882718 430.730000 r
16.450146 43.882705 430.750000 r
16.450163 43.882693 430.770000 r
16.450179 43.882680 430.790000 r
16.450196 43.882668 430.810000 r
16.450212 43.882656 430.820000 r
16.450229 43.882643 430.840000 r
16.450245 43.882631 430.840000 r
16.450262 43.882619 430.840000 r
16.450278 43.882606 430.850000 r
16.450295 43.882594 430.860000 r
16.450311 43.882582 430.870000 r
16.450328 43.882570 430.890000 r
16.450344 43.882558 430.900000 r
16.450361 43.882545 430.930000 r
16.450377 43.882533 430.950000 r
16.450394 43.882521 430.970000 r
16.450410 43.882509 430.970000 r
16.450426 43.882496 430.970000 r
16.450442 43.882484 430.970000 p
16.450458 43.882472 430.960000 p
16.450474 43.882460 430.960000 p
16.450490 43.882448 430.960000 p
16.450506 43.882436 430.950000 r
16.450521 43.882423 430.950000 r
16.450537 43.882411 430.940000 p
16.450553 43.882399 430.950000 r
16.450568 43.882388 430.980000 l
16.450584 43.882375 431.010000 r
16.450599 43.882363 431.040000 r
16.450615 43.882352 431.040000 r
16.450630 43.882340 431.040000 p
16.450645 43.882328 431.050000 r
16.450661 43.882317 431.060000 r
16.450676 43.882305 431.070000 r
16.450692 43.882293 431.070000 r
16.450707 43.882282 431.070000 r
16.450723 43.882271 431.080000 r
16.450738 43.882260 431.090000 r
16.450754 43.882249 431.090000 r
16.450769 43.882238 431.100000 r
16.450785 43.882227 431.110000 p
16.450801 43.882216 431.110000 r
16.450816 43.882205 431.120000 r
16.450832 43.882195 431.110000 r
16.450848 43.882184 431.110000 r
16.450864 43.882174 431.120000 p
16.450880 43.882164 431.110000 p
16.450896 43.882154 431.090000 p
16.450912 43.882144 431.060000 r
16.450927 43.882135 431.040000 r
16.450944 43.882125 431.000000 r
16.450959 43.882116 430.970000 r
16.450976 43.882106 430.920000 r
16.450992 43.882097 430.900000 p
16.451008 43.882088 430.860000 r
16.451024 43.882078 430.940000 r
16.451039 43.882069 430.990000 r
16.451054 43.882059 430.920000 p
16.451069 43.882049 430.850000 r
16.451085 43.882040 430.790000 r
16.451100 43.882031 430.740000 l
16.451117 43.882023 430.750000 p
16.451134 43.882015 430.760000 r
16.451151 43.882008 430.740000 p
16.451168 43.882001 430.730000 p
16.451185 43.881994 430.730000 r
16.451203 43.881987 430.740000 l
16.451220 43.881981 430.730000 r
16.451237 43.881974 430.720000 l
16.451255 43.881968 430.720000 r
16.451273 43.881963 430.710000 l
16.451290 43.881957 430.700000 l
16.451308 43.881952 430.680000 r
16.451327 43.881947 430.650000 l
16.451345 43.881943 430.640000 p
16.451363 43.881939 430.640000 l
16.451382 43.881934 430.650000 l
16.451400 43.881930 430.650000 l
16.451419 43.881927 430.640000 r
16.451438 43.881923 430.630000 r
16.451457 43.881921 430.620000 r
16.451476 43.881918 430.620000 r
16.451496 43.881915 430.610000 l
16.451515 43.881913 430.590000 r
16.451535 43.881911 430.580000 r
16.451554 43.881909 430.580000 l
16.451574 43.881908 430.590000 l
16.451593 43.881906 430.590000 l
16.451613 43.881905 430.610000 r
16.451632 43.881904 430.630000 r
16.451652 43.881903 430.650000 p
16.451672 43.881902 430.670000 r
16.451692 43.881901 430.680000 l
16.451712 43.881901 430.700000 l
16.451732 43.881901 430.710000 l
16.451752 43.881901 430.720000 l
16.451772 43.881901 430.720000 l
16.451792 43.881901 430.710000 l
16.451812 43.881902 430.720000 r
16.451832 43.881903 430.740000 r
16.451851 43.881904 430.770000 l
16.451871 43.881906 430.800000 r
16.451891 43.881907 430.810000 r
16.451911 43.881909 430.830000 p
16.451931 43.881911 430.850000 p
16.451951 43.881913 430.860000 p
16.451971 43.881915 430.880000 r
16.451991 43.881918 430.910000 p
16.452011 43.881921 431.060000 p
16.452031 43.881924 431.070000 p
16.452051 43.881927 431.090000 r
16.452071 43.881931 431.120000 r
16.452091 43.881934 431.130000 l
16.452110 43.881938 431.140000 r
16.452130 43.881942 431.170000 r
16.452150 43.881947 431.190000 l
